manga,pagina,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,1,1,0,0,0
1,5,0,1,0,0,0,0,0,0,1,0,0,0
1,6,0,0,0,0,0,0,0,1,0,0,0,0
1,7,0,1,0,0,0,0,0,0,1,0,0,0
1,8,0,0,0,0,0,0,1,0,0,0,0,0
1,9,0,0,0,0,0,0,1,0,0,0,0,0
1,10,0,0,0,0,0,0,1,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0,1,0,0,0
1,12,0,0,0,0,0,0,0,0,1,0,0,0
1,13,0,0,0,0,0,0,0,0,1,0,0,0
1,14,0,0,0,0,0,0,0,1,0,0,0,0
1,15,0,0,0,0,0,0,0,0,1,0,0,0
1,16,0,0,0,0,0,0,0,1,0,0,0,0
1,17,0,0,0,0,0,0,0,0,1,0,0,0
1,18,0,0,0,0,0,0,0,0,1,0,0,0
1,19,0,0,0,0,0,0,0,0,1,0,0,0
1,20,0,1,0,0,0,0,0,1,0,0,0,0
1,21,0,1,0,0,0,0,0,0,0,0,0,0
1,22,0,1,0,0,0,0,0,0,1,0,0,0
1,23,0,0,0,0,0,0,0,0,1,0,0,0
1,24,0,0,0,0,0,0,0,0,1,0,0,0
1,25,0,0,0,0,0,0,0,0,1,0,0,0
1,26,0,0,0,0,0,0,0,1,0,0,0,0
1,27,0,0,0,0,0,0,1,0,0,0,0,0
1,28,0,0,0,0,0,0,0,0,1,0,0,0
1,29,0,0,0,0,0,0,0,1,1,0,0,0
1,30,0,0,0,0,0,0,1,1,0,0,0,0
2,1,,,,,,,,,,,1,
2,2,,,,,,,1,,,,1,
2,3,,,,,,,,,,,1,
2,4,,,,,,,,,,,,1
2,5,,,,,,,,1,,,,
2,6,,,,,,,,,,,,1
2,7,,,,,,,,,,,1,1
2,8,,,,,,,,,,,,1
2,9,,,,,,,,,,,,1
2,10,,,,,,,1,,,,,
2,11,,,,,,,1,,,,,
2,12,,,,,,,1,,,,,
2,13,,,,,,,1,,,,,
2,14,,,,,,,1,,,,,
2,15,,,,,,,,,,,1,0
2,16,,,,,,,,,,,1,0
2,17,,,,,,,,,,,1,
2,18,,,,,,,,,,,1,
2,19,,,,,,,,,,,1,
2,20,,,,,,,,,,,1,
2,21,,,,,,,,,,,1,
2,22,,,,,,,,,,,1,
2,23,,,,,,,,,,,1,
2,24,,,,,,,,,,,1,
2,25,,,,,,,,,,,1,
2,26,,,,,,,1,,,,,
2,27,,,,,,,1,,,,,
2,28,,,,,,,1,,,,,
2,29,,,,,,,,,,,1,
2,30,,,,,,,,,,,1,
